...........................10......100.....1.................... 縦取り
..................0........00......100.....1.................... 虎系
..................01.......10......100.....1.................... 虎定石
..................01......000......100.....1.................... 虎定石
..................01......100....1.100.....1.................... BergTiger
.................111......100......100.....1.................... イエス流
...........0.....110......100......100.....1.................... Aubrey(Feldborg)
...........0.....110......1111.....110.....1.................... Aubrey(Feldborg)
..................01......0001.....110.....1.................... ブライトウェル
..................000.....0001.....110.....1.................... ブライトウェル
..................01......0001.....000.....10................... リーダーズタイガー
..................01......0001.....001.....111.................. ビン定石
..................000.....0001.....001.....111.................. ビン定石・坂口流
..................000.....0001....1111.....111.................. ビン定石・坂口流
..................000.....0001....0011....0111.................. ビン定石・坂口流
..................000.....0001....0011...11111.................. ビン定石・坂口流
..................01......0001.....010.....0.......0............ 榎本トラップ
..................01......0001.....100.....1.0.................. Stephenson
..................01.1....0011.....100.....1.0.................. コンポス
..................01.1....00000....100.....1.0.................. 砂虎
..................0001....0001.....100.....1.0.................. ライトニングボルト
..................01.1....0011.....000.....100.................. たまプラ～ザ
..................01.1....0011.....010.....110......1........... たまプラ～ザ
..................01.1....0011.....010.....100......10.......... たまプラ～ザ
..................01.1....0011....1110.....100......10.......... 最強定石
..................01.1....0011....0110...0.100......10.......... 最強定石
..................01.1....0011....0111...0.1111.....10.......... 最強定石
..................01.1....0011....00000..0.1111.....10.......... 最強定石
..................01.1....0011....01000..011111.....10.......... 最強定石
..................01.1....0011....01000..011011.....00......0... 最強定石
..................01.1....1011...111000..011011.....00......0... 最強定石
...........0......00.1....1011...111000..011011.....00......0... 最強定石
..................01.1....0011.....010....0000......1........... ロジステロ流
..................01.1....0011.....011....00001.....1........... ろじくすぴあ
..................01.1....0011.....0000...00001.....1........... ろじくすぴあ
..................01.1....0011.....0010...00011.....11.......... ろじくすぴあ
..................01.10...0010.....0010...00011.....11.......... ろじくすぴあ
..................01.1....0011.....010.....000.....01........... satobonクロス
.................111.1....0011.....010.....000.....01........... satobonクロス
.................11101....0001.....000.....000.....01........... satobonクロス
............1....11111....0011.....010.....010.....01........... satobonクロス
..................01.1....0011.....011.....0001....01........... テバポス
..................01.1....0011.....011.....0001....000.......... テバポス
..................01.1....0011.....011.....0001....00......0.... D8コンポス
..................01.1....0011.....0000....0001....01........... プチポス
..................01.1....0011....10000....1001....01........... シャープコンポス
..................01.1....0011....00000..0.1001....01........... シャープコンポス
..................01.1....0011....00000...00001....01........... フラットコンポス
..................01.1....0011.....011.....0001....00........0.. f8コンポス
..................01.1....0011.....011.....0011....001.......0.. H6コンポス
..................01.1....0011.....011.....00000...001.......0.. H6コンポス
..................01.1....0011.....0000....0001....001.......0.. スリポス
..................01.1....0011.....0001....00011...001.......0.. スリポス
..................01.1....0011.0...0000....00011...001.......0.. スリポス
..................01.1....0011.0...0100....01011...011......10.. スリポス
..................01.1....0011....1111.....0001....00........0.. ジャンポス
..................01.1....001110...0001....00011...001.......0.. F.A.T.Draw
..................01.1.0..001100...0001....00011...001.......0.. F.A.T.Draw
..................01.1.0..001110...00011...00011...001.......0.. F.A.T.Draw
..................01.1.0..001110...00010...00000...001.0.....0.. F.A.T.Draw
............0.....00.1....0011.....011.....0011....001.......0.. E2コンポス
..................01......0001.....1111....1.0.................. ノーカン
..................01......0001.....0011....100.................. 縦取り殺され
..................01......0001....11111....100.................. 縦取り殺され
..................01......0001.....0111...01.0.................. Holgersson
..................01......0001.....0011....110.....1............ EJ
..................01......0001.....0011....010....01............ EJ
..................000.....0001.....1111....1.0.................. ノーカン(Continuation)
..................0001....0011.....1111....1.0.................. ノーカン(Continuation)
..................0001....00000....1111....1.0.................. ノーカン(Continuation)
..................0001.1..00001....1111....1.0.................. ノーカン(Continuation)
..................000001..00001....1111....1.0.................. ノーカン(Continuation)
.............1....000101..00011....1111....1.0.................. ノーカン(Continuation)
..................01......0001.....0011....100.....1.0.......... 北島流
..................000.....0001.....0011....110.....1............ ボンド定石
..................000.....0001....11111....110.....1............ ボンド定石
..................0000....0000....11101....110.....1............ ボンド定石
..................0000....0000....11101....111.....11........... ボンド定石
..................01......0001.....0011....101.......1.......... 金田流
..................01.....11111.....100.....1.0.................. カン/イタリアンクロス
..................01......0001....0000.....1.................... 虎大量
..................01.....11111....1000.....1.................... バナナ定石
.................001.....10111....1000.....1.................... 南十字
.................001.....10111....1100....11.................... 南十字
..................01.....11111...00000.....1.................... Ishii
..................01.....11111...01100....11.................... Ishii
..................01.0...11110...01100....11.................... Ishii
..................01.0...11110...01110....111................... Ishii
..................0000...11110...01110....111................... Ishii
